,,CLAUDE,,,,,
Language,No of Examples,Bleu Score,Syntax Valid Rate,Structure Score,Semantic Scire ,Token Match,Overall
hi (Hindi),0,"0.7809491685245079
",100,"0.8
","0.9522410809993744
","0.994202380952381
","0.9054785260952528
"
,5,"0.780202565716258
",100,0.85,"0.9550687432289123
","0.994202380952381
","0.9158947379795104
"
,10,0.755350946849809,80.0,"0.6
",0.931449747085571,0.994202380952381,0.816200614977553
,15,0.701244440036338,70.0,0.5,0.792131572961807,0.994202380952381,0.737515678790105
,25,0.319054424981078,10.0,0.05,0.542160493135452,0.964066017316017,0.395056187086509
Bn (Bengali),0,0.710032276621224,100.0,0.85,0.92728077173233,1.0,0.897462609670711
,5,0.709611405069978,100,0.85,"0.927834939956665
",1.0,0.897489269005329
,10,0.71521879689786,100.0,0.8,0.929615134000778,1.0,0.888966786179728
,15,0.732195213945075,100,0.85,0.931210672855377,1.0,0.90268117736009
,25,0.703368352068336,100,0.8,0.927882361412048,1.0,0.886250142696077
Zh-CN (Mandarin),0,"0.8041900348458529
","100
","0.8
","0.9585098624229431
",1.0,"0.9125399794537593
"
,5,"0.8100661775742107
",100,0.85,"0.9613028049468995
",1.0,"0.924273796504222
"
,10,"0.8197805862559605
",100,0.8,"0.9627955436706543
","1.0
","0.916515225985323
"
,15,"0.8162171523429873
",100,0.8,"0.9629798293113708
",1.0,"0.9158393963308715
"
,25,"0.8099232148679434
",100,0.75,"0.9521627426147461
",1.0,"0.9024171914965379
"
Ku (kurdish),0,"0.6508705323403351
",100,0.75,0.922882658243179,1.0,0.864750638116703
,5,0.70438322572954,100,0.8,0.932983827590942,1.0,0.887473410664097
,10,0.678602336284127,100,0.8,0.934716564416885,1.0,0.882663780140202
,15,0.715477612635681,100,0.8,0.935051560401917,1.0,0.89010583460752
,25,0.712136063722369,80,0.6,0.922408205270767,1.0,0.806908853798627
el (Greek),0,0.791813208264822,100.0,0.85,0.959698408842087,1.0,0.920302323421382
,5,0.807813065188119,100,0.85,0.959770971536636,1.0,0.923516807344951
,10,0.764210385325589,90,0.75,0.92861567735672,0.969863636363636,0.862537939809189
,15,0.692237897337575,80.0,0.7,0.894846928119659,0.969863636363636,0.811389692364174
,25,0.758832660378824,90.0,0.75,0.919885092973709,0.969863636363636,0.859716277943234
Es (Spanish),0,0.861661541075038,100.0,0.85,0.964481502771378,1.0,0.935228608769283
,5,0.85150555021472,100.0,0.85,0.963425368070602,1.0,0.932986183657065
,10,0.647358317444669,10.0,0.05,0.87947643995285,1.0,0.535366951479504
,15,0.592849120175139,0.0,0.0,0.858936667442322,1.0,0.490357157523492
,25,0.56665749131522,10.0,0.05,0.850829285383224,0.997752808988764,0.513047917137442
Fr (French),0,0.878017376747993,100.0,0.9,0.972328346967697,1.0,0.950069144743138
,5,0.878017376747993,100.0,0.9,0.972235918045044,1.0,0.950050658958607
,10,0.750417973003388,40.0,0.3,0.906316876411438,1.0,0.671346969882965
,15,0.699035373496844,30.0,0.2,0.884718835353851,1.0,0.616750841770139
,25,0.63494482968577,20.0,0.1,0.880834245681763,1.0,0.563155815073506