Language,Bleu Score,Syntax Valid Rate,Structure Score,Semantic Scire ,Token Match,Overall
hi (Hindi),"0.4498523230546752
",100,"0.5037037037037037
","0.8709728956222534
",1,"0.7649057844761267
"
Bn (Bengali),"0.42333754802519646
","93.33333333333333
","0.4814814814814815
","0.8891289969285329
","0.9992054110848437
","0.7452973541706777
"
Zh-CN (Mandarin),"0.515146267962711
","63.33333333333333
",0.3,"0.9188368598620097
","0.7092144437673654
","0.6153061809850838
"
Ku (kurdish),"0.4362406815554805
","80.0
","0.4033333333333333
","0.6192086299260458
","0.9671936298269632
","0.6451952549283644
"
el (Greek),"0.6373638131824106
","80.0
","0.4703703703703704
","0.8262209395567576
","0.9662045725879059
","0.7400319391394887
"
Es (Spanish),0.350299238897804,0.0,0.0,0.651137514909108,"0.9972854764443208,",0.399744446050247
Fr (French),"0.37566260420747993
",0.0,0.0,"0.6449604292710622
","0.9606503561442888
","0.39625467792456626
"